Date,IBIT Close,BTC Close,NAV Estimate,Premium/Discount (bps),Cost (bps),Create Signal,Redeem Signal,Spread Captured (bps),P&L Per Trade (USD)
2025-01-06,58.1700,102078.09,60.0733,-316.83,10.08,false,true,306.75,71374.60
2025-01-07,54.7900,96922.70,57.0394,-394.35,10.33,false,true,384.02,84161.15
2025-01-08,53.3400,95043.52,55.9335,-463.67,10.45,false,true,453.22,96697.97
2025-01-10,53.8400,94701.45,55.7321,-339.51,10.41,false,true,329.10,70874.00
2025-01-13,53.2200,94516.52,55.6233,-432.07,10.46,false,true,421.61,89751.57
2025-01-14,54.8300,96534.05,56.8106,-348.64,10.33,false,true,338.31,74197.19
2025-01-15,56.6400,100504.49,59.1473,-423.90,10.19,false,true,413.71,93729.48
2025-01-16,57.0900,99756.91,58.7073,-275.48,10.16,false,true,265.32,60589.51
2025-01-17,59.6200,104462.04,61.4763,-301.95,9.98,false,true,291.97,69628.47
2025-01-21,60.4200,106146.27,62.4675,-327.76,9.93,false,true,317.83,76813.93
2025-01-22,59.3800,103653.07,61.0002,-265.61,10.00,false,true,255.61,60711.60
2025-01-23,58.7900,103960.17,61.1809,-390.80,10.04,false,true,380.76,89538.84
2025-01-24,59.7000,104819.48,61.6866,-322.05,9.98,false,true,312.08,74523.60
2025-01-27,57.6700,102087.69,60.0790,-400.97,10.12,false,true,390.85,90161.08
2025-01-28,57.5800,101332.48,59.6345,-344.52,10.12,false,true,334.39,77017.71
2025-01-29,59.3400,103703.21,61.0297,-276.87,10.00,false,true,266.86,63342.95
2025-01-30,59.7200,104735.30,61.6371,-311.03,9.98,false,true,301.05,71915.62
2025-01-31,57.7100,102405.02,60.2657,-424.08,10.12,false,true,413.96,95558.61
2025-02-03,57.5800,101405.42,59.6775,-351.46,10.12,false,true,341.34,78617.42
2025-02-04,56.1300,97871.82,57.5979,-254.86,10.23,false,true,244.62,54923.06
2025-02-05,55.3300,96615.45,56.8585,-268.83,10.29,false,true,258.54,57219.74
2025-02-06,55.1200,96593.30,56.8455,-303.54,10.31,false,true,293.23,64652.13
2025-02-07,54.4700,96529.09,56.8077,-411.51,10.36,false,true,401.15,87403.17
2025-02-10,55.3800,97437.55,57.3423,-342.22,10.29,false,true,331.93,73528.62
2025-02-11,54.1100,95747.43,56.3477,-397.12,10.39,false,true,386.74,83704.94
2025-02-12,55.1600,97885.86,57.6062,-424.64,10.31,false,true,414.33,91418.33
2025-02-13,54.7400,96623.87,56.8635,-373.44,10.34,false,true,363.10,79503.87
2025-02-14,55.3300,97508.97,57.3844,-358.00,10.29,false,true,347.71,76955.19
2025-02-18,53.5100,95539.55,56.2254,-482.94,10.44,false,true,472.50,101134.95
2025-02-19,54.6500,96635.61,56.8704,-390.43,10.35,false,true,380.09,83086.75
2025-02-20,56.0400,98333.94,57.8699,-316.20,10.24,false,true,305.97,68585.50
2025-02-21,53.9200,96125.55,56.5702,-468.48,10.40,false,true,458.08,98798.74
2025-02-24,53.4100,91418.17,53.7999,-72.48,10.45,false,true,62.03,13251.97
2025-02-25,50.0300,88736.17,52.2216,-419.66,10.75,false,true,408.92,81832.63
2025-02-26,47.9600,84347.02,49.6385,-338.15,10.95,false,true,327.20,62769.62
2025-02-27,47.3500,84704.23,49.8487,-501.26,11.02,false,true,490.25,92853.14
2025-02-28,47.9000,84373.01,49.6538,-353.21,10.96,false,true,342.25,65575.16
2025-03-03,48.9000,86065.67,50.6500,-345.50,10.86,false,true,334.64,65456.13
2025-03-04,49.3900,87222.20,51.3306,-378.05,10.81,false,true,367.25,72553.05
2025-03-05,51.4400,90623.56,53.3323,-354.81,10.62,false,true,344.19,70821.49
2025-03-06,50.6400,89961.73,52.9428,-434.96,10.69,false,true,424.27,85940.08
2025-03-07,49.4300,86742.67,51.0484,-317.03,10.80,false,true,306.22,60546.30
2025-03-10,44.9100,78532.00,46.2164,-282.66,11.29,false,true,271.37,48749.64
2025-03-11,47.2400,82862.21,48.7647,-312.67,11.03,false,true,301.64,56997.57
2025-03-12,47.1500,83722.36,49.2709,-430.46,11.04,false,true,419.42,79102.81
2025-03-13,45.5200,81066.70,47.7080,-458.63,11.22,false,true,447.41,81465.26
2025-03-14,48.1400,83969.10,49.4161,-258.24,10.93,false,true,247.31,47621.15
2025-03-17,48.0600,84075.69,49.4788,-286.76,10.94,false,true,275.82,53022.76
2025-03-18,46.8100,82718.50,48.6801,-384.17,11.07,false,true,373.09,69858.05
2025-03-19,48.6100,86854.23,51.1140,-489.89,10.89,false,true,479.00,93137.47
2025-03-20,47.8500,84167.20,49.5327,-339.71,10.96,false,true,328.75,62922.93
2025-03-21,47.7000,84043.24,49.4597,-355.79,10.98,false,true,344.81,65790.68
2025-03-24,50.1800,87498.91,51.4934,-255.07,10.73,false,true,244.33,49042.58
2025-03-25,50.1400,87471.70,51.4774,-259.81,10.74,false,true,249.07,49953.20
2025-03-26,49.1800,86900.88,51.1415,-383.54,10.83,false,true,372.71,73319.65
2025-03-27,49.4400,87177.10,51.3040,-363.33,10.80,false,true,352.53,69715.88
2025-03-28,47.5600,84353.15,49.6421,-419.43,10.99,false,true,408.43,77700.47
2025-03-31,46.8100,82548.91,48.5803,-364.41,11.07,false,true,353.34,66159.22
2025-04-01,48.3000,85169.17,50.1224,-363.58,10.92,false,true,352.67,68135.00
2025-04-02,49.4100,82485.71,48.5431,178.58,10.81,true,false,167.77,33157.93
2025-04-03,46.5700,83102.83,48.9063,-477.71,11.10,false,true,466.61,86920.46
2025-04-04,47.7100,83843.80,49.3424,-330.83,10.98,false,true,319.85,61040.01
2025-04-07,44.2700,79235.34,46.6303,-506.17,11.36,false,true,494.80,87619.85
2025-04-08,43.5900,76271.95,44.8863,-288.80,11.45,false,true,277.35,48359.01
2025-04-09,46.8300,82573.95,48.5951,-363.22,11.07,false,true,352.15,65964.25
2025-04-10,45.1700,79626.14,46.8603,-360.70,11.26,false,true,349.45,63137.98
2025-04-11,47.6700,83404.84,49.0840,-288.09,10.98,false,true,277.10,52838.29
2025-04-14,48.2800,84542.39,49.7535,-296.16,10.92,false,true,285.24,55085.73
2025-04-15,47.7400,83668.99,49.2395,-304.53,10.97,false,true,293.56,56057.63
2025-04-16,47.9600,84033.87,49.4542,-302.14,10.95,false,true,291.19,55862.35
2025-04-17,48.2600,84895.75,49.9615,-340.55,10.92,false,true,329.63,63632.18
2025-04-21,49.7200,87518.91,51.5052,-346.60,10.78,false,true,335.83,66789.23
2025-04-22,52.0800,93441.89,54.9909,-529.34,10.56,false,true,518.78,108072.09
2025-04-23,53.2000,93699.11,55.1423,-352.23,10.46,false,true,341.76,72727.14
2025-04-24,53.2600,93943.80,55.2863,-366.50,10.46,false,true,356.04,75851.71
2025-04-25,54.2700,94720.50,55.7434,-264.31,10.38,false,true,253.93,55123.93
2025-04-28,53.8800,94978.75,55.8953,-360.55,10.41,false,true,350.15,75463.64
2025-04-29,54.2200,94284.79,55.4869,-228.33,10.38,false,true,217.95,47268.97
2025-04-30,53.5100,94207.31,55.4413,-348.36,10.44,false,true,337.92,72328.24
2025-05-01,54.9500,96492.34,56.7861,-323.33,10.32,false,true,313.01,68799.89
2025-05-02,55.1900,96910.07,57.0319,-322.96,10.30,false,true,312.66,69022.91
2025-05-05,53.6300,94748.05,55.7596,-381.92,10.43,false,true,371.49,79692.30
2025-05-06,53.9700,96802.48,56.9686,-526.36,10.40,false,true,515.96,111385.43
2025-05-07,54.6800,97032.32,57.1039,-424.47,10.34,false,true,414.12,90576.96
2025-05-08,57.6200,103241.46,60.7580,-516.47,10.12,false,true,506.35,116703.24
2025-05-09,58.6600,102970.85,60.5987,-319.93,10.05,false,true,309.88,72709.75
2025-05-12,57.8800,102812.95,60.5058,-433.97,10.10,false,true,423.87,98134.37
2025-05-13,59.6200,104169.81,61.3043,-274.75,9.98,false,true,264.76,63140.42
2025-05-14,58.7400,103539.41,60.9333,-359.95,10.04,false,true,349.91,82214.83
2025-05-15,58.6700,103744.64,61.0541,-390.49,10.05,false,true,380.44,89281.82
2025-05-16,59.2000,103489.29,60.9038,-279.76,10.01,false,true,269.74,63875.23
2025-05-19,59.9900,105606.18,62.1496,-347.49,9.96,false,true,337.53,80993.00
2025-05-20,60.9100,106791.09,62.8469,-308.20,9.90,false,true,298.30,72677.75
2025-05-21,61.7900,109678.08,64.5459,-426.97,9.84,false,true,417.13,103097.79
2025-05-22,63.2300,111673.28,65.7201,-378.90,9.76,false,true,369.14,93363.49
2025-05-23,61.8300,107287.80,63.1393,-207.36,9.84,false,true,197.52,48850.15
2025-05-27,62.5000,108994.64,64.1437,-256.26,9.80,false,true,246.46,61614.54
2025-05-28,60.7900,107802.33,63.4421,-418.03,9.91,false,true,408.12,99238.69
2025-05-29,59.9900,105641.76,62.1706,-350.74,9.96,false,true,340.78,81773.06
2025-05-30,59.4600,103998.57,61.2035,-284.87,9.99,false,true,274.88,65377.47
2025-06-02,59.3600,105881.53,62.3117,-473.69,10.00,false,true,463.69,110099.00
2025-06-03,60.4000,105432.47,62.0474,-265.50,9.93,false,true,255.57,61746.18
2025-06-04,59.6400,104731.98,61.6351,-323.70,9.98,false,true,313.72,74841.21
2025-06-05,57.8700,101575.95,59.7778,-319.15,10.10,false,true,309.05,71538.11
2025-06-06,59.2600,104390.34,61.4341,-353.89,10.01,false,true,343.88,81513.89
2025-06-09,61.7700,110294.10,64.9085,-483.52,9.84,false,true,473.68,117036.33
2025-06-10,62.2900,110257.23,64.8868,-400.20,9.81,false,true,390.39,97269.14
2025-06-11,61.8400,108686.63,63.9625,-331.83,9.84,false,true,321.99,79647.34
2025-06-12,60.7000,105929.05,62.3396,-263.02,9.91,false,true,253.10,61453.28
2025-06-13,59.7400,106090.97,62.4349,-431.64,9.98,false,true,421.66,100759.87
2025-06-16,61.8000,106796.76,62.8503,-167.11,9.84,false,true,157.26,38875.75
2025-06-17,59.5000,104601.12,61.5581,-334.34,9.99,false,true,324.35,77194.80
2025-06-18,58.9700,104883.33,61.7242,-446.21,10.03,false,true,436.19,102887.36
2025-06-20,58.6700,103309.60,60.7981,-350.02,10.05,false,true,339.97,79785.29
2025-06-23,58.6700,105577.77,62.1329,-557.34,10.05,false,true,547.29,128437.87
2025-06-24,60.0600,106045.63,62.4082,-376.27,9.95,false,true,366.32,88003.59
